Site_Latitude,Site_Longitude,Site_Soil_Sand_Percentage,Site_Soil_Silt_Percentage,Site_Soil_Clay_Percentage,Site_Precipitation_mm,Site_Temperature_Celsius,Crop_Biomass_Aerial
55.4,12.18,62.0,25.0,13.0,550.0,8.0,10.79
55.4,12.18,62.0,25.0,13.0,550.0,8.0,8.66
55.4,12.18,62.0,25.0,13.0,550.0,8.0,4.0
55.4,12.18,62.0,25.0,13.0,550.0,8.0,10.02
55.4,12.18,62.0,25.0,13.0,550.0,8.0,10.13
55.4,12.18,62.0,25.0,13.0,550.0,8.0,8.45
39.37,22.22,50.9,20.0,29.1,461.0,16.2,6.92
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.38
39.37,22.22,50.9,20.0,29.1,461.0,16.2,7.02
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.63
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.98
39.37,22.22,50.9,20.0,29.1,461.0,16.2,6.52
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.45
39.37,22.22,50.9,20.0,29.1,461.0,16.2,6.67
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.0
39.37,22.22,50.9,20.0,29.1,461.0,16.2,6.42
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.6
39.37,22.22,50.9,20.0,29.1,461.0,16.2,7.87
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.55
39.37,22.22,50.9,20.0,29.1,461.0,16.2,6.62
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.63
39.37,22.22,50.9,20.0,29.1,461.0,16.2,8.27
39.37,22.22,50.9,20.0,29.1,461.0,16.2,9.32
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.73
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.2
39.37,22.22,50.9,20.0,29.1,461.0,16.2,7.32
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.13
39.37,22.22,50.9,20.0,29.1,461.0,16.2,8.32
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.68
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.35
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.37
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.58
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.62
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.12
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.07
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.48
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.87
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.05
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.57
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.88
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.97
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.65
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.52
39.37,22.22,50.9,20.0,29.1,461.0,16.2,2.75
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.02
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.64
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.15
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.02
39.37,22.22,50.9,20.0,29.1,461.0,16.2,3.2
39.37,22.22,50.9,20.0,29.1,461.0,16.2,2.83
39.37,22.22,50.9,20.0,29.1,461.0,16.2,3.83
39.37,22.22,50.9,20.0,29.1,461.0,16.2,5.77
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.2
39.37,22.22,50.9,20.0,29.1,461.0,16.2,4.33
39.37,22.22,50.9,20.0,29.1,461.0,16.2,6.02
